Wall time,Step,Value
1752574301.3729517,21,1.3049721717834473
1752574303.8091884,51,0.5477926135063171
1752574304.7540858,66,0.38323113322257996
1752574304.8051789,67,0.5741544961929321
1752574305.2920218,75,0.5181266069412231
1752574305.9232078,86,0.21836602687835693
1752574306.3123538,93,0.36578571796417236
1752574307.5318327,107,0.30645251274108887
1752574307.7864182,111,0.3004448115825653
1752574309.151819,133,0.575255274772644
1752574309.2695148,135,0.18690775334835052
1752574311.384148,162,0.19016338884830475
1752574311.5595756,165,0.2474774271249771
1752574311.8204148,169,0.36351820826530457
1752574312.345403,177,0.2534375786781311
1752574313.5661905,196,0.12786926329135895
1752574314.7597024,208,0.20170363783836365
1752574316.4018352,234,0.24884435534477234
1752574317.4032383,249,0.30534446239471436
1752574317.4667213,250,0.1487400233745575
1752574318.7623868,264,0.19753322005271912
1752574319.484357,276,0.24438558518886566
1752574320.1779945,287,0.285997211933136
1752574320.354508,290,0.2353990226984024
1752574322.7370672,321,0.2877604365348816
1752574322.9439545,324,0.30128318071365356
1752574325.0874,351,0.12103655934333801
1752574325.8663733,363,0.039675939828157425
1752574326.3899603,371,0.18628057837486267
1752574327.1803057,383,0.20249901711940765
1752574327.6841059,391,0.14817990362644196
1752574327.958737,395,0.09169953316450119
1752574329.2740889,407,0.1905401647090912
1752574330.1045089,420,0.07686979323625565
1752574331.475831,441,0.10481671243906021
1752574331.534849,442,0.01783580705523491
1752574332.5369523,451,0.10736942291259766
1752574333.5786452,466,0.4751826822757721
1752574333.8326564,470,0.21362920105457306
1752574334.4936404,480,0.29789596796035767
1752574334.8224,485,0.28112635016441345
1752574334.8807132,486,0.14666861295700073
1752574337.21686,515,0.009220769628882408
1752574337.3380585,517,0.13551941514015198
1752574337.4031856,518,0.0671023577451706
1752574338.6847713,538,0.11288843303918839
1752574339.0233057,543,0.1105857864022255
1752574339.1545186,545,0.01458492036908865
1752574340.6678991,561,0.010720530524849892
1752574341.0487258,567,0.07638654857873917
1752574342.9663143,595,0.004656190052628517
1752574343.2250667,599,0.0028845160268247128
1752574343.7584486,601,0.002416926668956876
1752574345.9185827,634,0.001976124942302704
1752574346.4608638,642,0.001995744416490197
1752574346.8915546,648,0.039445385336875916
1752574346.9592626,649,0.002056059893220663
1752574348.3668513,663,0.0029690824449062347
1752574348.9889925,672,0.0016830300446599722
1752574349.5470054,680,0.001668724580667913
1752574353.2426074,726,0.0032188044860959053
1752574353.526433,730,0.051125407218933105
1752574354.832047,749,0.05484437197446823
1752574356.675655,769,0.0017436781199648976
1752574357.4751005,780,0.0013274791417643428
1752574357.9277542,787,0.001297226408496499
1752574358.3647704,793,0.0012084649642929435
1752574359.9065008,809,0.001110562589019537
1752574361.8409688,837,0.0015251038130372763
1752574364.0301883,862,0.000837084196973592
1752574364.6119478,871,0.0008367917616851628
1752574366.0223477,891,0.0012217506300657988
1752574370.2550554,947,0.0015127062797546387
1752574375.013407,1004,0.0006822344148531556
1752574375.368866,1009,0.0005567613989114761
1752574376.1572504,1020,0.0004560125235002488
1752574376.6306043,1027,0.00047968581202439964
1752574376.8805118,1031,0.0004847402742598206
1752574377.0020335,1033,0.0005040459800511599
1752574377.5745575,1042,0.00040787868783809245
1752574379.2458825,1061,0.0003098175802733749
1752574380.2184873,1076,0.00031643983675166965
1752574380.616218,1082,0.0002816751366481185
1752574382.4388835,1103,0.00036166489007882774
1752574382.8030436,1109,0.06165696308016777
1752574383.1699483,1114,0.0003669628349598497
1752574383.2937846,1116,0.00041759025771170855
1752574384.285162,1130,0.0003319695242680609
1752574384.7659838,1137,0.0003289406595285982
1752574386.2049186,1151,0.0003561893536243588
1752574386.5566642,1156,0.0002565223549026996
1752574386.6212747,1157,0.0003752248885575682
1752574387.4487302,1169,0.0003316963848192245
1752574388.154942,1179,0.00022492458811029792
1752574388.2793558,1181,0.00024982457398436964
1752574388.8418825,1189,0.00029584806179627776
1752574389.4736788,1198,0.00020363552903290838
1752574391.5239747,1223,0.00023122268612496555
1752574391.9903376,1230,0.05164260044693947
1752574393.8900867,1251,0.00020920710812788457
1752574394.2855656,1257,0.00024596447474323213
1752574394.4160368,1259,0.0002128651103703305
1752574394.6793737,1263,0.00021651084534823895
